Gene,Mouse1_Zadj,Mouse3_Zadj,Mouse4_Zadj,Mouse5_Zadj
CNAG_07692,-0.238362162,0.985860124,-0.622612231,0.769030824
CNAG_07695,0.465803641,-0.196704164,-0.157494849,-0.932379321
CNAG_07707,-0.519446458,0.57840373,0.547724871,0.855036954
CNAG_07708,0.630788224,0.608988309,1.176263275,-0.146813706
CNAG_07712,1.054650742,0.428337786,-0.194118668,-0.784774081
CNAG_07713,-0.2255958,0.467431049,-0.275988534,0.282513853
CNAG_07722,-0.302853232,-0.77583525,0.103461218,0.443973106
CNAG_07727,1.283470929,-0.528200822,-0.052435284,-0.545464719
CNAG_07730,-0.827175129,0.491152336,0.077431032,-0.451401993
CNAG_07731,0.838223426,0.394906993,-2.479020911,0.611189383
CNAG_07732,0.386309568,0.411351275,0.449552588,0.410763806
CNAG_07733,0.981462592,0.194506509,0.626355174,0.664635774
CNAG_07738,0.061260236,-0.700491791,-0.7072919,0.34062895
CNAG_07741,0.803501493,-1.321875951,-1.123040584,1.356673828
CNAG_07745,-0.039031285,0.679405952,-1.011027694,1.261906063
CNAG_07747,-0.353424658,-0.596153971,-2.183540022,0.376421893
CNAG_07748,-1.696083365,1.265660768,-1.928453063,2.667634086
CNAG_07758,0.454833207,1.046525925,-0.234795501,0.038278881
CNAG_07762,0.218539863,-0.626202479,1.462123023,-1.742324353
CNAG_07770,-1.767384318,-0.71360272,-1.592389941,-1.273680417
CNAG_07801,1.376365922,0.186620911,-0.007888836,0.044855319
CNAG_07803,0.025299476,-0.762140717,1.339695945,-0.60513339
CNAG_07805,-0.332599641,0.417584724,-0.017006692,-0.490995524
CNAG_07808,1.129176522,0.099084067,-0.179637525,0.362678073
CNAG_07811,-0.39028996,0.890656825,0.703095939,1.043170384
CNAG_07817,-0.654634441,0.478941689,-0.217349721,0.694669105
CNAG_07818,-1.426546615,1.113639742,-0.679507045,-2.816580046
CNAG_07819,0.640869357,1.198967008,0.308679257,-0.807012591
CNAG_07823,0.272639136,-0.434260129,-2.381852913,0.11082831
CNAG_07824,-1.14115905,0.141685004,1.609211382,0.034316265
CNAG_07826,0.343357869,-0.581414563,-1.212870853,-0.52598612
CNAG_07829,-0.203308985,-1.26562063,0.057687306,0.01418369
CNAG_07831,1.587327723,0.67210219,0.477896618,0.352648245
CNAG_07841,-0.830952827,0.486406717,0.240077215,-0.530454114
CNAG_07842,1.508877452,0.16915862,0.638175175,0.845859648
CNAG_07843,0.451493375,0.200489289,0.6253644,0.483693137
CNAG_07848,-5.151864218,-6.126920994,-5.945866892,-6.325987498
CNAG_07849,-6.26042422,-5.897496599,-2.411692991,-5.691884489
CNAG_07850,1.092443313,0.916552516,-0.990880773,0.445855826
CNAG_07852,-0.476823514,0.996279662,1.207032749,1.295713794
CNAG_07853,-0.01152106,0.674104129,0.835643339,0.71023779
CNAG_07854,-0.379875077,-0.003147132,-0.718260973,-0.218400206
CNAG_07858,0.544774589,0.624894807,0.290787205,0.694830238
CNAG_07859,0.020748729,-0.157521596,0.447073656,-0.875658119
CNAG_07861,0.486471728,0.565472628,0.906591559,0.047769138
CNAG_07870,-1.077710142,0.709071247,-0.794603265,-0.530782558
CNAG_07872,0.763558583,0.175101711,-1.707394502,0.217778813
CNAG_07879,-1.118915241,0.187317697,0.974296359,-0.101924323
CNAG_07880,-0.551924761,-1.175801112,-0.330551458,-0.214680482
CNAG_07881,1.434752153,0.952904027,-0.232978084,0.446717635
CNAG_07886,0.716091633,1.100478175,1.064701485,0.982589617
CNAG_07889,-0.828842402,0.688884678,-1.073718028,0.638328436
CNAG_07895,1.060836696,1.206487611,-0.221037293,1.330102494
CNAG_07897,1.270237101,-0.455443045,0.290580589,0.430951759
CNAG_07899,0.998969179,-0.544322802,-0.487026553,-1.12823545
CNAG_07900,-0.442997045,0.431367926,0.109370782,-0.611815964
CNAG_07908,-0.531032126,-1.609571443,0.595171102,0.578121104
CNAG_07909,-0.589200044,1.048262111,1.150187752,1.394001263
CNAG_07911,0.958627004,0.934026858,-0.181112228,0.367201648
CNAG_07913,-1.258498026,0.464779005,0.817985734,0.654658773
CNAG_07916,-0.026392477,0.186545564,0.473352837,-0.334297776
CNAG_07923,-0.049598189,1.305809951,0.655279616,0.842178486
