Gene,Mouse1_Zadj,Mouse2_Zadj,Mouse3_Zadj,Mouse4_Zadj,Mouse5_Zadj
CNAG_03869,0.019018886,-2.202699267,-1.047820653,-0.669292802,0.863318111
CNAG_03871,0.8439495,0.104645728,-1.079183969,0.660419173,0.072318795
CNAG_03872,0.34108164,1.872086424,0.228709177,1.334248281,0.411421204
CNAG_03873,1.135115764,-0.192381475,0.461051038,0.38500866,1.412752006
CNAG_03875,-1.063888502,0.331188608,-0.523604704,-0.394213367,0.252130569
CNAG_03877,-1.705639468,-2.967642956,-4.579882152,-3.19541533,-3.858458505
CNAG_03878,-0.672737838,0.169643519,-0.050525595,0.771161571,0.403268828
CNAG_03881,1.652648987,1.107628216,1.245008394,1.095596233,0.222352118
CNAG_03883,0.70218479,-0.328957913,0.602038336,1.356322729,0.572094569
CNAG_03886,-3.207980473,-7.92092149,-5.759146894,-6.324627763,-4.204978673
CNAG_03889,0.70192022,-0.953113667,0.499780661,-0.432061554,-0.100893379
CNAG_03890,-0.150058919,0.038523292,-0.86028698,0.075345263,-1.174088043
CNAG_03896,-0.27697696,0.590401855,0.198316646,1.28736961,0.462927927
CNAG_03898,0.065694257,1.762696143,0.180156104,0.729193136,1.340646802
CNAG_03900,-2.306219376,-3.577090733,-4.365962915,-4.25671751,-5.4295804
CNAG_03905,-0.539557389,-1.630811739,-0.419318531,0.608525274,-0.66630764
CNAG_03908,0.059428293,-0.655980301,1.319287706,-1.023930667,-0.487853461
CNAG_03909,0.685848122,2.640036079,1.571951051,2.53554054,2.159293675
CNAG_03913,1.232590751,1.096579769,0.049584185,-0.190090171,0.74224111
CNAG_03919,-0.028472435,0.174749158,1.29887112,0.113577945,-1.61135141
CNAG_03920,-0.464888985,-1.578939055,0.14253884,-0.684061847,-0.529345206
CNAG_03922,-0.36065821,0.270971851,0.678959957,0.059363078,0.151504134
CNAG_03923,-0.480004829,-2.494875602,-3.945080465,-2.746817466,-3.094046838
